ue,freq,act_theta,reduction,score
0.368,0.018,0.499,1.9398884244022412,9.2322327456341782
1.143,0.232,0.545,5.7370511609582024,9.2384374685981303
2.006,0.224,0.393,15.608221605285181,9.2610999746595457
0.318,0.241,0.627,0.69676993620078065,9.2232200139919893
0.543,0.24,0.43,4.0299405173874163,9.2453506995727643
1.664,0.24,0.43,12.068481809209914,9.2585859491588778
0.92,0.102,0.393,6.0902454515709223,9.250394048064086
3.635,0.001,0.434,15.343634204873709,9.0752519005340453
3.892,0.139,0.43,26.942157263025379,9.1270540621895861
1.425,0.132,0.557,6.3951271336466107,9.2290882156208269
0.92,0.224,0.393,7.3755456204112875,9.2604218785046726
1.548,0.147,0.43,11.186920534734526,9.2591599039786381
2.329,0.132,0.456,14.619934304353293,9.2253853197863815
3.284,0.24,0.445,21.976053266785712,9.1755689936181568
1.112,0.179,0.687,0.20003489188812296,9.1966361186648875
3.288,0.111,0.65,2.5624918787922013,9.0235798583177562
2.737,0.267,0.687,1.1538569216148318,9.0789852776769031
3.892,0.208,0.434,27.528563840261953,9.1316291691321769
2.737,0.241,0.566,12.750935317740385,9.1694649481708943
3.284,0.169,0.393,24.95821312394294,9.1988356157810411
3.284,0.151,0.489,17.545636199339327,9.1410031605073438
1.379,0.171,0.43,9.9912795606401374,9.2597248488918567
3.284,0.224,0.557,14.516952324520588,9.1173735609078772
1.437,0.169,0.43,10.398617746223479,9.2596363155941255
1.507,0.084,0.589,5.6400344078071356,9.2183885500400535
1.319,0.296,0.545,6.5837513500037232,9.2363771297997328
1.548,0.24,0.434,11.484311864700629,9.2614801322830438
1.11,0.123,0.414,8.3951332873342324,9.2606626368491316
2.312,0.14,0.509,11.541703216023279,9.2029470959679571
3.29,0.24,0.43,23.241925151951065,9.1846563658210947
3.785,0.137,0.703,1.5158444998863416,8.9451083618157536
0.883,0.147,0.707,-0.054805981107847401,9.2037849663284383
1.425,0.132,0.545,6.8297761584825309,9.2324793197596797
1.507,0.19,0.507,7.4951263512589605,9.2328618597863823
3.284,0.146,0.393,24.934984921035294,9.1986543908144185
2.737,0.14,0.472,16.343767542758542,9.1974959974365831
1.548,0.24,0.45,10.322013062478618,9.2524119507076108
1.507,0.232,0.589,5.9176843107996149,9.2205547569826436
3.284,0.185,0.545,15.884922666456802,9.1280463787983983
3.195,0.224,0.355,23.02704762022627,9.1953014049399204
2.306,0.187,0.65,2.8853511417722615,9.1359649458210939
0.122,0.187,0.257,0.9158721901117417,9.2266542358878496
3.164,0.137,0.697,0.96618414819235454,9.0271265265954597
2.427,0.267,0.595,8.8595491846764389,9.1711214002403203
1.507,0.24,0.707,0.056509710645727296,9.1748262442990658
3.892,0.087,0.434,27.731666780100326,9.1332137653938581
2.123,0.19,0.62,5.5303141228917951,9.1728109193324432
3.284,0.224,0.256,15.168553098209571,9.1224573088384506
1.68,0.241,0.58,7.0918156139152586,9.2186882349799735
1.548,0.147,0.589,6.1128107982747792,9.2195720214686254
3.145,0.232,0.496,16.098255649963136,9.1475834092122827
1.507,0.001,0.434,6.2897123765710745,9.2234572963684904
1.784,0.167,0.681,0.81480454447162742,9.1625102725233649
2.95,0.167,0.387,22.898966432373157,9.2244126236315083
1.112,0.179,0.731,-0.16144069477992673,9.1938159090520699
1.282,0.211,0.626,2.8214416559599442,9.2089485680640859
1.146,0.224,0.705,-0.053905516581096435,9.1931194516955941
0.883,0.147,0.62,2.1622475465901232,9.2210822774098808
3.892,0.001,0.43,15.939243402940534,9.0412100257409875
2.306,0.241,0.627,5.7727157338628672,9.1584919813351142
3.209,0.191,0.637,6.6690438565104557,9.065884176528705
0.92,0.277,0.393,7.3620492623162619,9.260316580774365
0.851,0.201,0.34,6.2839146308153886,9.2543490227236322
2.171,0.224,0.545,10.415825140754649,9.2068051265954605
1.88,0.232,0.445,12.724331776089841,9.2483927690253669
3.312,0.134,0.393,25.299029877645722,9.1978008864886522
2.306,0.267,0.393,18.021511851122824,9.2540563121762354
3.181,0.241,0.636,6.5970008076389917,9.0689005012283044
3.519,0.13,0.545,16.027514646786244,9.0971847723898538
2.427,0.241,0.595,8.7666978072466861,9.1703969796795732
3.892,0.24,0.591,16.142080909383353,9.0427925511081444
0.164,0.232,0.697,0.20048580865508825,9.2208325966889184
3.284,0.162,0.256,15.527529100080429,9.1252580168491324
3.288,0.111,0.627,5.2050153916459863,9.0441966592523357
3.635,0.001,0.507,9.6916500749260877,9.0311554786381834
1.507,0.24,0.62,3.8078187468335898,9.2040937195994665
3.284,0.194,0.393,25.194476602615183,9.2006789284646189
2.606,0.206,0.539,13.992998318455207,9.1931541049666219
3.164,0.24,0.697,1.0319969305761845,9.0276399937516683
0.122,0.14,0.257,0.89178228269543069,9.2264662879572761
3.195,0.232,0.445,21.403285475737164,9.1826329156208271
1.425,0.224,0.256,7.3565503023955756,9.2365891782376508
2.329,0.224,0.697,0.38439056071409539,9.1143205099065412
1.88,0.232,0.591,7.3975682755237813,9.2068336978638179
1.112,0.28,0.472,6.6661195543226768,9.2470841013084115
